OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3740,3740,1.0000000,254.1122894,1518.6151123,-1264.5028076,1.0000000
3741,3741,1.0000000,262.5676575,1492.9063721,-1230.3386230,1.0000000
3742,3742,1.0000000,279.7786865,1460.1766357,-1180.3979492,1.0000000
3743,3743,1.0000000,289.0549316,1446.2482910,-1157.1933594,1.0000000
3744,3744,1.0000000,286.4037781,1451.0354004,-1164.6315918,1.0000000
3745,3745,1.0000000,284.0267334,1457.3714600,-1173.3447266,1.0000000
3746,3746,1.0000000,296.1033936,1433.5642090,-1137.4608154,1.0000000
3747,3747,1.0000000,305.3785706,1408.1269531,-1102.7484131,1.0000000
3748,3748,1.0000000,310.2019958,1406.1136475,-1095.9117432,1.0000000
3749,3749,1.0000000,316.0550232,1404.6782227,-1088.6232910,1.0000000
3750,3750,1.0000000,326.3890991,1382.0867920,-1055.6977539,1.0000000
3751,3751,1.0000000,345.9149475,1331.1160889,-985.2011719,1.0000000
3752,3752,1.0000000,352.1683960,1309.8321533,-957.6637573,1.0000000
3753,3753,1.0000000,360.8690186,1287.2254639,-926.3563843,1.0000000
3754,3754,1.0000000,365.4392090,1273.4688721,-908.0296021,1.0000000
3755,3755,1.0000000,376.1881104,1253.5881348,-877.4000854,1.0000000
3756,3756,1.0000000,387.3562012,1227.6822510,-840.3260498,1.0000000
3757,3757,1.0000000,395.6169434,1212.6921387,-817.0751953,1.0000000
3758,3758,1.0000000,402.0975342,1200.7491455,-798.6516113,1.0000000
3759,3759,1.0000000,406.7008972,1191.8842773,-785.1833496,1.0000000
3760,3760,1.0000000,412.3687439,1176.7603760,-764.3916016,1.0000000
3761,3761,1.0000000,457.4978638,1068.6268311,-611.1289673,1.0000000
3762,3762,1.0000000,512.2577515,951.5760498,-439.3183289,1.0000000
3763,3763,1.0000000,478.2988892,997.8453369,-519.5464478,1.0000000
3764,3764,1.0000000,448.6170654,1065.1973877,-616.5802612,1.0000000
3765,3765,1.0000000,431.8329163,1107.5131836,-675.6802979,1.0000000
3766,3766,1.0000000,456.3362732,1048.5976562,-592.2614136,1.0000000
3767,3767,1.0000000,523.2630005,935.7479248,-412.4849243,1.0000000
3768,3768,1.0000000,515.7515869,940.7473145,-424.9956970,1.0000000
3769,3769,1.0000000,483.8171387,991.7194824,-507.9023132,1.0000000
3770,3770,1.0000000,473.6725769,1004.3900146,-530.7174683,1.0000000
3771,3771,1.0000000,521.5526123,937.8981323,-416.3455200,1.0000000
3772,3772,0.9538460,584.0225220,850.6191406,-266.5965881,0.9538462
3773,3773,0.9692310,550.0797729,881.6550293,-331.5752869,0.9692308
3774,3774,0.9692310,534.6853027,898.9829712,-364.2976990,0.9692308
3775,3775,0.9692310,535.7816772,895.6174316,-359.8357544,0.9692308
3776,3776,0.9692310,534.0802612,892.8830566,-358.8028259,0.9692308
3777,3777,0.9846150,523.7579346,895.8204956,-372.0625610,0.9846154
3778,3778,0.9692310,544.1342163,868.0195312,-323.8852844,0.9692308
3779,3779,1.0000000,513.1651001,904.5778809,-391.4127808,1.0000000
3780,3780,1.0000000,487.7867737,929.9772949,-442.1904907,1.0000000
3781,3781,1.0000000,495.5153503,913.3701172,-417.8547668,1.0000000
3782,3782,0.9846150,518.2479858,869.5382080,-351.2902222,0.9846154
3783,3783,0.9230770,581.8750610,783.5870361,-201.7119446,0.9230769
3784,3784,0.7384620,633.0705566,719.2018433,-86.1312866,0.7384616
3785,3785,0.9538460,552.7444458,790.6493530,-237.9048920,0.9538462
3786,3786,1.0000000,480.0336914,878.3630981,-398.3294373,1.0000000
3787,3787,1.0000000,445.7651367,929.0918579,-483.3267517,1.0000000
3788,3788,1.0000000,446.3675842,939.0242920,-492.6567078,1.0000000
3789,3789,1.0000000,433.4651489,954.7361450,-521.2709961,1.0000000
3790,3790,1.0000000,397.2161560,990.1989136,-592.9827881,1.0000000
3791,3791,1.0000000,371.6926880,1009.3244629,-637.6317749,1.0000000
3792,3792,1.0000000,358.6241455,1016.5795898,-657.9554443,1.0000000
3793,3793,1.0000000,374.5115356,992.6947021,-618.1831665,1.0000000
3794,3794,1.0000000,391.8804932,972.2741089,-580.3936157,1.0000000
3795,3795,1.0000000,431.0410156,922.9537964,-491.9127808,1.0000000
3796,3796,1.0000000,361.8467102,1016.5867920,-654.7401123,1.0000000
3797,3797,1.0000000,322.9378662,1114.9599609,-792.0221558,1.0000000
3798,3798,1.0000000,307.4886475,1150.6845703,-843.1958618,1.0000000
